"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"MIR1302-10",0,4,4,0,0,0,0,0,0,0
"FAM138A",0,2,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0
"RP11-34P13.7",19,10,5,2,10,0,4,13,6,11
"RP11-34P13.8",0,0,0,0,0,0,0,0,0,0
"AL627309.1",30,137,178,161,177,15,186,80,92,39
"RP11-34P13.14",1,2,5,1,2,0,7,9,8,1
"RP11-34P13.9",0,0,2,0,0,0,0,0,0,0
"AP006222.2",14,45,18,5,7,7,23,16,14,15
"RP4-669L17.10",137,124,201,242,189,29,130,213,179,79
"OR4F29",0,0,0,0,0,0,0,2,0,0
"RP4-669L17.2",0,0,0,0,0,0,0,0,2,0
"RP5-857K21.15",0,0,0,0,0,0,1,2,0,0
"RP5-857K21.1",0,0,1,3,14,31,1,1,0,0
"RP5-857K21.2",0,0,0,0,0,0,0,0,0,0
"RP5-857K21.3",0,0,0,0,0,0,0,0,0,0
"RP5-857K21.4",2,2,7,2,3,4,8,7,11,7
"RP5-857K21.5",0,0,0,0,0,0,0,0,0,0
"OR4F16",2,0,2,0,0,0,0,0,0,0
"RP11-206L10.3",9,31,10,7,3,0,5,19,15,18
"RP11-206L10.5",7,2,0,1,0,0,0,3,2,1
"RP11-206L10.4",0,0,0,0,0,0,0,0,0,0
"RP11-206L10.2",75,91,29,14,29,3,32,83,105,41
"RP11-206L10.9",40,54,11,1,7,19,2,8,11,8
"AL669831.1",0,1,0,0,0,1,0,0,2,0
"FAM87B",6,6,1,0,1,2,2,10,0,3
"LINC00115",16,6,50,31,53,24,4,21,16,18
"FAM41C",0,0,3,0,2,0,0,2,1,0
"AL645608.2",0,0,0,0,0,0,0,0,0,0
"RP11-54O7.16",12,1,2,2,0,0,0,0,1,0
"RP11-54O7.1",41,0,10,0,1,0,0,63,44,0
"RP11-54O7.2",2,0,0,0,0,0,0,0,0,0
"RP11-54O7.3",423,83,100,90,146,6,4,10,2,6
"SAMD11",607,274,274,227,251,13,4,24,76,19
"AL645608.1",6,8,0,0,0,0,0,0,0,0
"NOC2L",2292,2688,1098,955,1470,742,1467,1413,1902,765
"KLHL17",562,730,305,192,433,113,188,198,222,104
"PLEKHN1",63,46,14,7,12,0,4,2,6,0
"C1orf170",12,9,6,2,4,0,2,0,0,0
"RP11-54O7.17",6,13,84,64,26,0,10,10,12,2
"HES4",91,243,1175,637,618,12,51,31,24,8
"RP11-54O7.11",1,2,0,1,0,0,0,0,0,1
"ISG15",320,136,1256,1562,988,412,287,256,212,216
"AGRN",18632,33642,3870,2351,3292,795,2532,2781,2199,827
"RP11-54O7.18",37,14,1,2,5,1,0,0,1,0
"RNF223",0,0,4,0,0,0,2,0,0,0
"C1orf159",207,350,483,351,540,132,240,170,202,116
"RP11-465B22.5",3,2,5,0,0,0,0,0,0,0
"RP11-465B22.8",48,20,150,18,31,2,4,4,0,0
"TTLL10-AS1",0,0,0,0,0,0,0,0,0,0
"TTLL10",0,2,20,2,6,0,0,3,0,0
"TNFRSF18",0,4,97,11,67,0,2,6,0,0
"TNFRSF4",4,2,146,39,103,1,2,9,2,0
"SDF4",5191,5288,5769,5875,7239,3417,5784,4230,5115,3005
"B3GALT6",543,513,986,632,1104,408,448,443,342,334
"FAM132A",19,44,43,50,96,10,33,19,11,5
"RP5-902P8.12",6,7,0,1,14,5,4,0,8,2
"UBE2J2",1000,1182,1065,837,1349,664,940,705,827,419
"RP5-902P8.10",26,26,10,14,15,17,9,40,32,21
"SCNN1D",163,133,767,717,1307,261,88,495,396,168
"ACAP3",3199,5357,2076,1453,2923,688,1104,1070,1216,351
"PUSL1",218,371,165,199,237,105,122,80,79,50
"CPSF3L",2179,2937,1924,1919,2478,1027,1442,1915,1964,785
"GLTPD1",704,469,2167,2389,3556,1063,1332,1380,2107,789
"TAS1R3",15,2,84,24,123,33,20,13,54,22
"DVL1",2585,3498,3379,3683,7018,2539,1807,2878,3040,1732
"MXRA8",885,80,977,621,792,62,62,165,270,52
"AURKAIP1",1878,2040,4458,5463,6120,2926,2610,2223,2854,2078
"CCNL2",6706,6925,4452,2703,4090,1759,3266,3412,4014,1540
"RP4-758J18.2",427,510,410,497,1047,475,529,718,585,380
"MRPL20",1010,1068,1629,1960,1798,1657,1231,1294,1418,1195
"RP4-758J18.13",16,26,35,64,52,16,14,28,28,11
"ANKRD65",56,45,88,43,91,19,6,12,12,4
"RP4-758J18.7",1,0,2,0,0,0,0,2,1,0
"TMEM88B",8,18,4,0,0,0,0,0,7,0
"RP4-758J18.10",34,33,26,62,28,18,75,14,58,28
"VWA1",4885,3809,4669,2842,7376,2151,5542,1378,2901,1105
"ATAD3C",28,30,74,136,301,157,187,7,27,157
"ATAD3B",1155,1629,964,619,1158,421,563,577,702,223
"ATAD3A",997,1839,1669,894,2783,1320,1387,879,977,356
"TMEM240",29,20,36,23,60,7,10,3,4,0
"SSU72",1798,1901,2603,2368,3425,1814,2702,2081,1830,1259
"AL645728.1",6,6,4,2,9,4,13,2,4,2
"C1orf233",18,46,58,38,36,0,16,4,2,4
"RP11-345P4.9",65,52,138,123,177,101,122,111,144,102
"MIB2",1678,1788,3146,2564,5295,1010,1686,1691,1906,771
"MMP23B",14,14,482,180,232,8,24,12,4,12
"CDK11B",945,1188,1072,752,934,472,1002,1042,699,331
"RP11-345P4.10",1,2,0,3,4,2,1,0,0,3
"SLC35E2B",2013,2323,1035,438,991,451,1170,1291,990,556
"RP11-345P4.7",13,34,14,13,7,4,49,34,16,20
"CDK11A",879,1608,769,649,881,366,1024,1020,1032,437
"SLC35E2",188,381,37,32,85,68,84,117,112,86
"NADK",2441,3175,2652,2869,4273,2541,4279,2896,3034,1517
"GNB1",8113,10218,2885,3023,3278,2363,3633,3300,2168,2349
"RP1-140A9.1",4,3,12,25,28,21,2,0,18,0
"CALML6",14,26,22,30,24,14,28,17,42,12
"TMEM52",24,110,224,128,208,66,104,28,178,94
"C1orf222",2,0,21,0,100,23,4,6,150,49
"RP11-547D24.1",0,0,0,1,0,0,0,0,0,0
"GABRD",2,2,16,6,0,0,0,2,0,0
"RP11-547D24.3",0,2,0,4,4,0,0,0,0,0
"PRKCZ",442,756,211,208,372,223,271,228,178,169
"RP5-892K4.1",2,3,3,0,2,0,2,2,2,1
"RP11-181G12.2",62,104,18,16,44,10,34,26,26,6
"C1orf86",903,1169,1469,1988,2038,593,563,547,738,408
"AL590822.2",0,0,0,0,0,0,0,0,0,0
"AL590822.1",9,3,3,30,41,0,2,6,11,14
"RP11-181G12.5",0,0,0,0,0,0,0,0,0,0
"RP11-181G12.4",0,0,6,6,7,0,0,3,0,0
"SKI",1620,2180,1532,907,1443,774,998,1859,1008,796
"MORN1",104,83,114,121,142,64,94,185,129,72
"AL589739.1",0,0,4,0,0,0,2,0,0,0
"RER1",3309,3726,2179,2403,2576,2481,2941,2436,2107,2578
"PEX10",242,305,301,327,410,207,134,305,216,286
"PLCH2",10,2,532,1544,1154,278,112,63,81,40
"RP3-395M20.2",0,0,0,4,6,0,0,0,0,0
"RP3-395M20.3",0,0,4,0,4,2,4,2,0,0
"PANK4",447,811,357,387,411,298,482,465,504,259
"HES5",0,0,6,4,4,0,12,0,2,2
"RP3-395M20.12",4,16,88,194,267,86,44,48,82,20
"TNFRSF14",237,233,2358,2230,3366,896,1087,1533,1640,825
"RP3-395M20.7",0,2,6,1,4,3,0,7,4,4
"RP3-395M20.9",0,0,4,0,1,0,0,0,0,0
"FAM213B",501,588,246,167,335,162,243,297,113,101
"MMEL1",0,0,7,0,0,0,0,2,0,2
"RP13-436F16.1",0,0,0,0,0,0,0,0,0,0
"TTC34",15,8,18,8,15,0,6,8,6,2
"RP11-740P5.2",0,0,0,0,0,0,0,0,0,0
"RP11-740P5.3",0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0
"LINC00982",152,170,36,14,24,2,0,0,0,0
"PRDM16",355,599,29,11,26,0,4,8,0,0
"RP1-163G9.2",0,3,0,0,0,0,0,0,0,0
"RP11-22L13.1",7,6,0,0,0,0,0,0,0,0
"ARHGEF16",468,651,268,223,411,116,92,122,124,51
"RP11-168F9.2",2,0,0,0,0,0,0,0,0,0
"MEGF6",21,325,927,516,828,20,46,389,64,106
"RP11-46F15.2",0,6,6,20,9,0,0,1,0,2
"TPRG1L",2570,2579,1586,1645,3091,2660,2192,2541,1751,2040
"WRAP73",401,527,232,202,260,230,186,254,180,128
"TP73",11,18,0,20,12,10,4,28,15,10
"RP5-1092A11.5",0,1,4,0,2,5,0,0,0,0
"RP5-1092A11.2",0,0,0,0,0,0,0,0,0,0
"TP73-AS1",625,1063,421,282,589,238,283,459,336,220
"CCDC27",3,11,0,0,0,0,0,0,0,2
"SMIM1",156,194,201,384,198,128,82,91,132,234
"LRRC47",960,1162,873,861,1680,856,1334,1586,1398,844
"RP1-286D6.5",18,21,29,22,25,4,9,13,11,6
"CEP104",882,1041,335,271,484,462,721,867,689,564
"DFFB",178,211,28,78,187,109,57,68,81,45
"C1orf174",409,660,184,264,330,266,349,343,246,254
"LINC01134",36,55,8,8,34,12,18,14,4,15
"RP13-614K11.1",0,0,0,0,0,0,0,0,0,0
"RP13-614K11.2",0,0,0,0,0,0,0,0,0,0
"RP5-1166F10.1",0,0,0,0,0,0,0,0,0,0
"RP1-37J18.1",0,0,0,0,0,0,0,0,0,0
"RP1-37J18.2",2,0,0,0,0,0,0,0,0,0
"AJAP1",0,0,64,16,24,0,2,0,0,0
"RP11-542C10.1",0,0,0,0,0,0,0,0,0,0
"RP1-58B11.1",0,0,0,0,0,0,0,0,0,0
"RP11-154H17.1",0,0,0,0,0,0,0,0,0,0
"NPHP4",423,534,81,179,81,8,124,104,34,28
"KCNAB2",68,42,649,458,517,71,441,206,28,34
"AL035406.1",0,0,0,0,0,0,0,0,0,0
"CHD5",2,7,4,2,4,6,4,2,0,0
"RPL22",14423,18077,7742,8205,7807,4896,4574,8025,5510,6600
"RP1-120G22.11",18,25,10,10,21,11,3,2,19,25
"RNF207",1219,1648,207,194,276,134,181,186,180,130
"ICMT",1864,2236,746,619,867,711,990,891,597,811
"LINC00337",0,2,30,21,26,18,5,4,11,15
"HES3",0,0,0,0,0,0,2,0,0,2
"GPR153",101,249,4432,203,1114,197,289,184,297,204
"ACOT7",352,635,455,543,721,350,195,343,438,209
"RP1-202O8.3",0,0,0,0,0,0,0,0,0,0
"HES2",8,21,5,0,10,0,0,6,0,4
"ESPN",222,181,4284,5014,5583,2513,2506,1782,2953,1540
"RP1-202O8.2",0,0,0,0,0,1,0,0,0,0
"TNFRSF25",16,10,157,90,116,20,82,57,11,5
"PLEKHG5",72,82,313,132,140,10,151,134,0,15
"NOL9",621,613,212,238,320,188,403,505,489,331
"TAS1R1",6,0,0,0,0,0,2,2,0,2
"ZBTB48",443,582,960,939,1446,640,554,910,891,321
"KLHL21",978,1156,1410,913,1137,456,651,747,1426,712
"PHF13",602,724,531,294,277,152,198,581,606,288
"THAP3",163,234,207,262,225,137,169,156,182,138
"DNAJC11",776,920,244,210,262,300,621,565,454,317
"RP11-242F24.1",0,0,0,0,0,0,0,0,0,0
"RP11-312B8.1",0,4,32,4,61,8,3,11,16,2
"CAMTA1",620,907,807,1142,848,490,876,667,770,584
"RP11-334N17.1",0,0,0,0,0,0,0,0,0,0
"RP3-453P22.2",0,0,0,0,0,0,0,0,0,0
"RP4-549F15.1",0,0,0,0,0,0,0,0,0,0
"RP11-338N10.1",0,6,0,0,0,0,0,0,0,0
"RP11-338N10.2",2,2,0,0,0,0,0,0,0,0
"RP11-338N10.3",1,3,0,0,1,0,0,0,0,0
"VAMP3",2059,1800,896,754,857,768,743,1001,586,805
"PER3",98,110,462,633,305,228,381,494,494,787
"RP3-467L1.4",1,0,16,7,1,0,2,0,7,8
"UTS2",1,0,14,16,16,0,2,12,4,0
"TNFRSF9",10,22,0,0,6,0,2,4,0,4
"PARK7",4731,5093,3280,4901,4006,4176,4153,3893,3456,4137
"ERRFI1",12273,17329,18664,8181,6405,10290,10388,33846,22454,43158
"RP11-431K24.1",17,19,12,0,4,9,31,39,9,65
"RP11-431K24.3",7,0,8,4,8,10,8,16,33,22
"RP11-431K24.4",0,0,0,0,0,0,2,0,1,2
"SLC45A1",50,12,17,4,14,3,2,2,6,5
"RERE",1628,1865,1651,1071,1565,324,931,1507,1017,562
"RP5-1115A15.1",5,2,6,2,8,2,2,0,3,1
"RP4-633I8.4",0,1,0,0,0,0,4,3,0,3
"ENO1",29616,32573,13304,11547,16423,9768,12826,10369,11144,6815
"ENO1-AS1",0,1,0,0,7,0,0,0,4,4
"CA6",3,0,0,0,0,0,0,0,0,0
"SLC2A7",0,0,0,0,0,0,0,0,0,0
"SLC2A5",0,2,23,2,12,0,23,6,6,4
"GPR157",742,1154,211,172,316,195,214,276,326,234
"RP3-510D11.1",3,4,0,0,0,0,0,0,0,0
"RP3-510D11.2",27,14,4,8,7,8,1,4,6,0
"H6PD",8268,3974,7200,2813,3889,2317,13406,9119,11953,5392
"SPSB1",773,853,816,152,194,124,746,259,1268,408
"RP13-392I16.1",0,0,3,4,6,4,7,6,3,10
"SLC25A33",448,984,603,282,185,267,774,458,480,589
"TMEM201",188,314,146,88,158,38,92,108,80,50
"PIK3CD",241,385,245,360,490,67,406,225,4,28
"C1orf200",0,0,0,0,3,0,0,0,0,0
"RP11-558F24.4",101,206,4,8,4,0,4,8,2,8
"CLSTN1",2315,2154,1031,543,833,86,515,555,62,85
"CTNNBIP1",723,1040,407,354,525,282,365,405,269,356
"RP11-84A14.5",0,0,0,0,0,0,0,0,0,0
"LZIC",747,823,102,177,131,211,219,303,220,443
"NMNAT1",548,422,79,148,150,132,189,250,192,309
"RBP7",8,2,86,83,87,4,111,10,0,13
"UBE4B",1849,1945,390,421,647,457,972,1088,692,546
"KIF1B",3173,3977,543,472,603,477,986,1475,1061,1138
"PGD",3424,5703,1834,1667,1661,1194,1915,1493,1284,1105
"RP4-736L20.3",0,0,0,0,0,0,0,0,0,0
"APITD1",78,94,57,65,109,42,81,105,50,106
"APITD1-CORT",0,0,0,0,0,0,0,0,0,0
"CORT",17,6,20,0,16,0,6,2,2,0
"DFFA",1701,2606,306,373,488,314,653,782,568,530
"RP5-1113E3.3",0,0,0,0,0,0,0,0,0,0
"PEX14",629,724,1020,1253,1669,752,752,865,1186,418
"CASZ1",30,88,244,99,113,41,128,103,85,28
"RP4-734G22.3",10,14,4,0,1,3,10,11,14,0
"C1orf127",4,4,22,34,24,0,0,14,0,0
"TARDBP",3148,4083,1285,1188,1728,1781,1957,1910,1103,1735
"MASP2",120,186,8520,9804,10129,7038,6715,6226,7079,6603
"RP4-635E18.8",53,79,35,29,49,13,47,58,39,43
"SRM",1304,1736,963,765,1365,641,1314,456,477,217
"EXOSC10",1100,1453,276,170,291,351,311,412,311,275
"RP4-635E18.7",1,6,0,0,0,0,1,1,5,0
"RP4-635E18.6",6,2,4,2,0,0,0,4,1,2
"MTOR",2000,2440,750,507,830,728,1498,1236,777,833
"MTOR-AS1",1,0,0,0,0,0,0,0,0,0
"ANGPTL7",3,0,6,2,1,4,0,0,2,9
"UBIAD1",444,512,254,264,446,299,438,461,389,324
"PTCHD2",2,2,2,0,4,0,2,0,0,1
"RP1-69M21.2",0,0,0,0,0,0,0,0,0,0
"FBXO2",652,367,1874,2110,3627,987,445,328,701,285
"FBXO44",809,710,606,729,886,357,294,394,497,280
"FBXO6",113,85,345,399,680,335,220,289,153,124
"MAD2L2",488,561,549,788,1069,500,724,379,367,308
"DRAXIN",0,0,2,0,4,0,0,2,1,0
"AGTRAP",418,469,565,531,788,216,369,253,215,168
"C1orf167",6,0,8,0,10,1,0,2,8,0
"RP11-56N19.5",0,0,0,0,0,0,0,0,0,0
"MTHFR",784,885,584,427,708,329,728,746,777,158
"CLCN6",714,1268,370,358,466,210,359,398,437,158
"NPPA-AS1",9,7,27,11,13,8,4,9,9,10
"NPPA",6,1,14,2,17,25,0,5,6,0
"NPPB",22,365,0,0,0,0,0,0,0,0
"KIAA2013",2320,2860,3181,3094,4813,2531,2235,2445,2503,2051
"PLOD1",9150,10773,2824,1909,2682,1549,3805,3028,3602,2554
"MFN2",2439,2995,1924,2020,2652,2098,2318,3448,2714,2229
"MIIP",420,582,588,622,954,278,500,331,344,146
"TNFRSF8",5,31,14,2,10,0,12,16,0,37
"TNFRSF1B",1179,337,2904,1853,1481,902,2129,1253,360,325
"VPS13D",1734,1838,676,472,632,521,1345,1186,787,1046
"RP5-888M10.2",4,5,18,20,25,6,57,30,47,42
"DHRS3",3421,2908,5159,7028,8623,6233,6504,7964,7836,4618
"RP11-474O21.5",35,50,0,2,7,16,40,24,27,24
"AADACL4",2,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0
"C1orf158",2,0,0,0,0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0,0,0,0,0
"PRAMEF1",2,0,0,0,0,0,0,0,0,0
"RP5-845O24.8",0,0,0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0,0,0
"HNRNPCL1",1,2,0,0,2,4,0,3,4,3
"PRAMEF2",0,2,4,0,0,2,0,0,0,4
"PRAMEF4",2,0,2,0,0,0,0,0,0,0
"PRAMEF10",0,0,1,4,12,14,0,0,0,4
"PRAMEF7",0,0,2,0,0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0,0,0,3,0
"PRAMEF22",0,0,0,0,0,0,0,0,0,0
"WI2-3308P17.2",0,0,0,0,0,0,0,0,0,0
"RP13-221M14.2",0,0,0,0,0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0,0,0
"PRAMEF3",0,0,0,0,0,0,0,0,0,0
"PRAMEF5",0,0,0,0,2,0,0,0,0,0
"PRAMEF8",3,0,0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0,0,0
"RP11-219C24.10",0,0,0,0,0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0,0,0,0,0
"PRAMEF18",0,2,0,0,0,0,0,0,0,2
"PRAMEF16",0,0,0,0,0,0,0,0,0,0
"PRAMEF21",0,0,0,0,0,0,0,0,0,0
"PRAMEF15",2,0,0,0,0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0,0,0
"RP4-597A16.2",0,0,0,0,0,0,0,0,0,0
"PDPN",755,6,36,8,0,0,0,2,0,0
"CTA-520D8.2",0,0,0,0,0,0,0,0,0,0
"PRDM2",626,580,233,224,289,196,288,428,226,244
"RP11-344F13.1",0,0,0,0,0,0,0,0,0,0
"RP4-704D23.1",0,0,0,0,0,0,0,0,0,0
"KAZN",226,88,282,314,350,6,52,165,8,10
"TMEM51",717,478,194,132,130,10,108,54,4,10
"C1orf195",1,4,0,0,0,0,0,0,0,0
"FHAD1",2,6,12,0,0,0,1,0,3,5
"RP3-467K16.2",0,0,0,0,0,0,0,0,0,0
"RP3-467K16.7",0,0,0,0,0,0,1,2,2,0
"RP3-467K16.4",0,0,2,0,8,0,0,4,2,0
"EFHD2",1486,1194,1764,1879,2894,980,1355,918,1085,512
"CTRC",1,0,1,0,0,0,2,0,2,0
"CELA2A",0,0,0,0,0,0,0,0,0,0
"CELA2B",1,5,0,5,0,0,0,2,1,0
"CASP9",361,373,319,329,248,202,222,267,171,141
"DNAJC16",1172,1625,389,452,569,518,767,1087,904,1034
"RP4-680D5.8",3,2,14,13,21,0,2,9,16,3
"AGMAT",979,1597,1182,2636,3035,2887,1859,3171,3115,3084
"RP4-680D5.2",2,9,0,0,2,0,4,0,4,1
"DDI2",1502,2797,644,716,1097,961,1385,2927,1650,2029
"RSC1A1",0,0,0,0,0,0,0,0,0,0
"RP4-680D5.9",0,0,0,0,0,0,0,0,0,0
"PLEKHM2",1445,1553,1743,1283,1723,369,1146,922,603,330
"RP11-288I21.1",8,10,0,0,1,2,1,0,3,2
"SLC25A34",19,14,131,78,110,38,107,182,59,55
"RP11-169K16.4",0,0,3,0,6,0,2,4,2,0
"TMEM82",111,106,1291,2381,2063,811,508,886,1869,823
"FBLIM1",2069,2708,436,147,152,22,54,180,102,46
"RP11-169K16.9",44,38,100,104,156,90,83,146,87,136
"SPEN",1362,1732,985,670,828,297,1258,1995,1632,970
"ZBTB17",658,794,571,468,537,238,353,388,348,167
"C1orf64",0,0,0,0,0,0,0,0,0,0
"RP11-5P18.5",0,0,0,0,0,0,0,0,0,0
"HSPB7",30,2,38,10,42,3,0,13,2,2
"CLCNKA",5,3,40,6,187,47,2,8,3,4
"CLCNKB",3,0,0,0,8,1,0,0,1,0
"FAM131C",7,50,14,0,0,0,0,0,2,4
"EPHA2",1816,4324,2861,1081,1936,1347,288,1346,2959,1198
"RP11-276H7.2",20,24,20,4,12,1,10,9,18,4
"RP11-276H7.3",9,6,8,2,0,0,0,4,7,1
"ARHGEF19-AS1",0,0,0,0,0,0,0,0,0,0
"ARHGEF19",71,42,39,44,136,50,72,65,11,56
"C1orf134",12,13,10,10,31,5,20,15,22,14
"RSG1",71,84,78,76,120,76,79,71,74,84
"FBXO42",501,558,428,295,369,182,312,362,318,295
"SZRD1",2682,3244,1412,1393,1555,922,1487,1332,1123,1063
"SPATA21",4,1,16,4,10,10,2,8,3,2
"NECAP2",1183,1068,993,1040,1206,436,846,814,382,404
"RP4-798A10.2",41,17,13,2,2,1,5,2,7,3
"RP4-798A10.7",6,6,6,8,28,12,3,8,7,28
"RP4-798A10.4",1,0,2,0,4,0,0,0,0,2
"U1",0,4,0,0,1,5,0,3,2,1
"FAM231B",0,0,0,0,0,0,0,0,0,0
"NBPF1",1783,2170,377,501,781,466,599,733,562,1339
"RP5-1182A14.5",0,1,15,19,19,6,2,1,13,59
"CROCCP2",995,1956,1026,1475,3255,1543,1052,1760,1634,1393
"FAM231A",0,0,0,0,0,0,0,0,0,0
"FAM231C",1,0,0,0,0,0,0,0,0,0
"CROCC",493,578,475,389,680,124,129,338,191,120
"RP11-108M9.1",4,2,0,0,6,7,0,0,0,3
"RP11-108M9.2",0,0,0,0,0,0,0,0,2,2
"RP11-108M9.4",76,74,198,212,145,97,95,187,139,172
"RP11-108M9.6",0,6,0,1,0,0,2,0,1,0
"MFAP2",4,59,60,6,20,6,6,4,4,0
"RP1-37C10.3",0,0,0,0,0,0,0,0,0,0
"ATP13A2",372,479,560,550,889,121,610,251,212,86
"SDHB",1283,1521,1907,3378,2231,2514,2647,1926,2532,2875
"PADI2",7,0,40,12,10,4,76,48,0,8
"RP11-380J14.1",0,0,0,0,0,0,0,0,0,0
"PADI1",0,0,2,2,0,0,0,0,2,0
"PADI3",2,0,0,0,0,0,0,0,0,0
"PADI4",0,0,54,45,6,6,81,42,0,4
"AC004824.2",0,0,5,0,0,0,0,0,0,0
"RP1-20B21.4",0,0,0,0,0,0,0,0,0,0
"RCC2",1358,1344,416,334,367,203,451,542,423,166
"ARHGEF10L",2417,2320,6642,5016,8491,2921,4818,4719,6793,1850
"RP11-473A10.2",1,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,4,0,2,0,0,0
"RP11-174G17.2",0,0,0,0,0,0,0,0,0,0
"IGSF21",2,0,28,10,20,4,72,2,0,0
"RP11-174G17",0,0,0,0,0,0,0,0,0,0
"RP11-422P22.1",0,0,0,0,0,0,0,0,0,0
"KLHDC7A",28,28,204,144,232,182,115,280,90,142
"PAX7",3,0,0,0,0,0,0,0,0,0
"TAS1R2",0,0,0,0,0,0,0,0,0,0
"RP13-279N23.2",0,2,2,0,0,0,0,6,4,0
"ALDH4A1",3447,3687,6431,6677,8361,4354,11613,4707,8091,4221
"IFFO2",619,881,289,158,274,91,477,270,686,73
"UBR4",5738,9854,3548,2111,2782,1373,3576,5586,3702,2989
"RP1-43E13.2",5,9,2,8,1,2,5,5,5,0
"EMC1",2831,3512,409,399,609,324,869,1034,790,545
"MRTO4",1172,1646,482,511,806,462,546,612,613,413
"AKR7A3",46,168,5467,6430,10915,9377,1538,5517,5543,6666
"AKR7A2",1036,1216,1299,1693,1967,1417,842,1402,1156,1044
"PQLC2",503,688,999,488,1719,363,255,544,524,206
"CAPZB",4096,4236,1977,2106,2065,1835,2543,2030,1898,1282
"RP5-1056L3.1",0,0,0,0,0,0,0,0,0,0
"MINOS1-NBL1",0,0,0,0,0,0,0,0,0,0
"MINOS1",112,103,81,41,45,25,41,45,42,33
"NBL1",260,153,128,68,83,4,17,21,9,9
"HTR6",0,0,0,0,0,6,2,0,4,0
"TMCO4",119,101,365,308,571,199,228,379,262,182
"RNF186",0,0,0,7,3,1,4,2,3,4
"RP11-91K11.2",0,0,0,0,0,0,0,0,0,0
"OTUD3",429,501,114,123,148,78,82,170,146,60
"PLA2G2E",0,0,0,0,0,0,0,0,0,0
"PLA2G2A",601,1119,1549,767,300,346,2711,420,935,58
"PLA2G5",0,0,354,83,124,0,2,2,0,2
"PLA2G2D",0,0,30,28,22,2,6,0,0,4
"PLA2G2F",4,0,0,0,0,0,0,0,0,0
"RP3-340N1.2",61,16,18,8,108,82,19,10,9,6
"PLA2G2C",2,0,2,0,6,0,2,0,0,0
"UBXN10-AS1",0,2,10,4,6,5,2,2,6,2
"UBXN10",28,22,243,331,526,626,68,306,304,168
"RP3-340N1.6",0,0,0,0,0,0,0,0,0,0
"VWA5B1",0,0,0,0,1,0,0,0,0,0
"RP4-745E8.2",0,0,0,0,0,0,0,0,0,0
"LINC01141",0,0,2,2,0,0,0,0,1,0
"RP4-749H3.2",0,0,0,0,0,0,0,0,0,0
"CAMK2N1",1527,1751,921,1772,1643,1290,1340,2548,1334,1433
"MUL1",721,652,586,493,696,644,733,638,658,564
"FAM43B",6,0,66,52,18,0,0,2,0,0
"CDA",1,14,1396,1343,1704,1062,606,816,1188,300
"PINK1",322,322,1050,1408,1854,1931,2134,1699,1787,1253
"PINK1-AS",132,111,30,30,37,32,135,39,24,32
"DDOST",8644,9518,1686,1573,2124,2355,5709,2651,1765,1943
"KIF17",24,22,76,100,130,0,33,34,0,0
"SH2D5",34,71,0,0,0,0,2,0,1,0
"RP5-930J4.2",0,0,0,0,0,0,0,0,0,0
"HP1BP3",2315,2694,631,587,725,667,1300,2152,1278,1173
"RP5-930J4.4",0,0,0,0,0,0,0,0,0,0
"EIF4G3",3399,3969,548,464,383,299,945,889,363,427
"ECE1",2861,2368,2617,2080,3266,1084,4882,4862,4812,2309
"RP3-329E20.2",2,0,2,0,0,0,0,2,0,0
"RP5-1071N3.1",2,4,6,2,6,0,4,7,6,2
"RP11-293F5.1",0,0,0,0,0,0,0,0,0,0
"NBPF3",102,288,50,22,70,20,79,32,24,0
"ALPL",3,2,2269,1683,2661,1295,4164,2223,2412,1298
"RP11-63N8.3",0,0,0,0,0,0,0,0,0,1
"RAP1GAP",739,860,665,382,428,224,2617,354,760,166
"USP48",1597,1952,382,452,432,623,572,833,573,745
"LDLRAD2",7,9,5,0,4,0,2,7,0,1
"HSPG2",5554,11221,1978,838,1532,40,1433,4604,123,128
"CELA3B",0,0,0,0,0,0,0,0,0,0
"CELA3A",2,0,0,0,0,0,0,0,0,0
"RP1-224A6.3",0,0,0,4,2,0,0,0,0,0
"LINC00339",152,276,161,126,260,189,106,285,168,234
"CDC42",8139,8717,2601,2729,2486,2512,3352,3011,2352,3002
"RP1-224A6.9",0,0,4,0,2,0,0,0,2,0
"WNT4",6,0,130,50,116,144,57,12,53,22
